restricao,indice,dual,caso
limites,"('GT1', 0)",0.0,0
limites,"('GT1', 1)",0.0,0
limites,"('GT1', 2)",0.0,0
limites,"('GT2', 0)",0.0,0
limites,"('GT2', 1)",0.0,0
limites,"('GT2', 2)",0.0,0
limites,"('GT3', 0)",0.0,0
limites,"('GT3', 1)",0.0,0
limites,"('GT3', 2)",1352.94117646764,0
limite_deficit,"('B1', 0)",0.0,0
limite_deficit,"('B1', 1)",0.0,0
limite_deficit,"('B1', 2)",0.0,0
limite_deficit,"('B2', 0)",0.0,0
limite_deficit,"('B2', 1)",0.0,0
limite_deficit,"('B2', 2)",0.0,0
limite_deficit,"('B3', 0)",0.0,0
limite_deficit,"('B3', 1)",0.0,0
limite_deficit,"('B3', 2)",0.0,0
rampa_inf,"('GT1', 1)",0.0,0
rampa_inf,"('GT1', 2)",0.0,0
rampa_inf,"('GT2', 1)",0.0,0
rampa_inf,"('GT2', 2)",-1999.99999999667,0
rampa_inf,"('GT3', 1)",0.0,0
rampa_inf,"('GT3', 2)",-147.058823531083,0
rampa_sup,"('GT1', 1)",0.0,0
rampa_sup,"('GT1', 2)",0.0,0
rampa_sup,"('GT2', 1)",0.0,0
rampa_sup,"('GT2', 2)",0.0,0
rampa_sup,"('GT3', 1)",0.0,0
rampa_sup,"('GT3', 2)",0.0,0
restr_fluxo_sup,"('L0', 0)",-3060.60606059035,0
restr_fluxo_sup,"('L0', 1)",-8991.08734403956,0
restr_fluxo_sup,"('L0', 2)",0.0,0
restr_fluxo_sup,"('L1', 0)",-2300.00000001203,0
restr_fluxo_sup,"('L1', 1)",0.0,0
restr_fluxo_sup,"('L1', 2)",0.0,0
restr_fluxo_sup,"('L2', 0)",0.0,0
restr_fluxo_sup,"('L2', 1)",0.0,0
restr_fluxo_sup,"('L2', 2)",0.0,0
restr_fluxo_sup,"('L3', 0)",0.0,0
restr_fluxo_sup,"('L3', 1)",0.0,0
restr_fluxo_sup,"('L3', 2)",0.0,0
restr_fluxo_inf,"('L0', 0)",0.0,0
restr_fluxo_inf,"('L0', 1)",0.0,0
restr_fluxo_inf,"('L0', 2)",0.0,0
restr_fluxo_inf,"('L1', 0)",0.0,0
restr_fluxo_inf,"('L1', 1)",0.0,0
restr_fluxo_inf,"('L1', 2)",0.0,0
restr_fluxo_inf,"('L2', 0)",0.0,0
restr_fluxo_inf,"('L2', 1)",0.0,0
restr_fluxo_inf,"('L2', 2)",0.0,0
restr_fluxo_inf,"('L3', 0)",0.0,0
restr_fluxo_inf,"('L3', 1)",0.0,0
restr_fluxo_inf,"('L3', 2)",0.0,0
balanco,"('B1', 0)",250.000000000309,0
balanco,"('B1', 1)",249.999999998102,0
balanco,"('B1', 2)",250.000000001549,0
balanco,"('B2', 0)",2249.99999999732,0
balanco,"('B2', 1)",4250.00000000268,0
balanco,"('B2', 2)",250.000000002794,0
balanco,"('B3', 0)",1750.00000000279,0
balanco,"('B3', 1)",1897.0588235301,0
balanco,"('B3', 2)",250.000000001281,0
limites,"('GT1', 0)",0.0,1
limites,"('GT1', 1)",0.0,1
limites,"('GT1', 2)",0.0,1
limites,"('GT2', 0)",0.0,1
limites,"('GT2', 1)",0.0,1
limites,"('GT2', 2)",0.0,1
limites,"('GT3', 0)",0.0,1
limites,"('GT3', 1)",0.0,1
limites,"('GT3', 2)",1382.9411764692,1
limite_deficit,"('B1', 0)",0.0,1
limite_deficit,"('B1', 1)",0.0,1
limite_deficit,"('B1', 2)",0.0,1
limite_deficit,"('B2', 0)",0.0,1
limite_deficit,"('B2', 1)",0.0,1
limite_deficit,"('B2', 2)",0.0,1
limite_deficit,"('B3', 0)",0.0,1
limite_deficit,"('B3', 1)",0.0,1
limite_deficit,"('B3', 2)",0.0,1
rampa_inf,"('GT1', 1)",0.0,1
rampa_inf,"('GT1', 2)",0.0,1
rampa_inf,"('GT2', 1)",0.0,1
rampa_inf,"('GT2', 2)",-1999.99999999788,1
rampa_inf,"('GT3', 1)",0.0,1
rampa_inf,"('GT3', 2)",-132.058823529166,1
rampa_sup,"('GT1', 1)",0.0,1
rampa_sup,"('GT1', 2)",0.0,1
rampa_sup,"('GT2', 1)",0.0,1
rampa_sup,"('GT2', 2)",0.0,1
rampa_sup,"('GT3', 1)",0.0,1
rampa_sup,"('GT3', 2)",0.0,1
restr_fluxo_sup,"('L0', 0)",-3028.78787878068,1
restr_fluxo_sup,"('L0', 1)",-8991.08734402481,1
restr_fluxo_sup,"('L0', 2)",0.0,1
restr_fluxo_sup,"('L1', 0)",-2351.00000000268,1
restr_fluxo_sup,"('L1', 1)",0.0,1
restr_fluxo_sup,"('L1', 2)",0.0,1
restr_fluxo_sup,"('L2', 0)",0.0,1
restr_fluxo_sup,"('L2', 1)",0.0,1
restr_fluxo_sup,"('L2', 2)",0.0,1
restr_fluxo_sup,"('L3', 0)",0.0,1
restr_fluxo_sup,"('L3', 1)",0.0,1
restr_fluxo_sup,"('L3', 2)",0.0,1
restr_fluxo_inf,"('L0', 0)",0.0,1
restr_fluxo_inf,"('L0', 1)",0.0,1
restr_fluxo_inf,"('L0', 2)",0.0,1
restr_fluxo_inf,"('L1', 0)",0.0,1
restr_fluxo_inf,"('L1', 1)",0.0,1
restr_fluxo_inf,"('L1', 2)",0.0,1
restr_fluxo_inf,"('L2', 0)",0.0,1
restr_fluxo_inf,"('L2', 1)",0.0,1
restr_fluxo_inf,"('L2', 2)",0.0,1
restr_fluxo_inf,"('L3', 0)",0.0,1
restr_fluxo_inf,"('L3', 1)",0.0,1
restr_fluxo_inf,"('L3', 2)",0.0,1
balanco,"('B1', 0)",257.500000000064,1
balanco,"('B1', 1)",257.499999999626,1
balanco,"('B1', 2)",257.500000000714,1
balanco,"('B2', 0)",2257.49999999674,1
balanco,"('B2', 1)",4257.49999999744,1
balanco,"('B2', 2)",257.500000001746,1
balanco,"('B3', 0)",1772.49999999988,1
balanco,"('B3', 1)",1904.55882352882,1
balanco,"('B3', 2)",257.50000000163,1
limites,"('GT1', 0)",0.0,2
limites,"('GT1', 1)",0.0,2
limites,"('GT1', 2)",0.0,2
limites,"('GT2', 0)",0.0,2
limites,"('GT2', 1)",0.0,2
limites,"('GT2', 2)",0.0,2
limites,"('GT3', 0)",0.0,2
limites,"('GT3', 1)",0.0,2
limites,"('GT3', 2)",1412.94117646882,2
limite_deficit,"('B1', 0)",0.0,2
limite_deficit,"('B1', 1)",0.0,2
limite_deficit,"('B1', 2)",0.0,2
limite_deficit,"('B2', 0)",0.0,2
limite_deficit,"('B2', 1)",0.0,2
limite_deficit,"('B2', 2)",0.0,2
limite_deficit,"('B3', 0)",0.0,2
limite_deficit,"('B3', 1)",0.0,2
limite_deficit,"('B3', 2)",0.0,2
rampa_inf,"('GT1', 1)",0.0,2
rampa_inf,"('GT1', 2)",0.0,2
rampa_inf,"('GT2', 1)",0.0,2
rampa_inf,"('GT2', 2)",-1999.99999999818,2
rampa_inf,"('GT3', 1)",0.0,2
rampa_inf,"('GT3', 2)",-117.058823530594,2
rampa_sup,"('GT1', 1)",0.0,2
rampa_sup,"('GT1', 2)",0.0,2
rampa_sup,"('GT2', 1)",0.0,2
rampa_sup,"('GT2', 2)",0.0,2
rampa_sup,"('GT3', 1)",0.0,2
rampa_sup,"('GT3', 2)",0.0,2
restr_fluxo_sup,"('L0', 0)",-2996.96969695724,2
restr_fluxo_sup,"('L0', 1)",-8991.0873440274,2
restr_fluxo_sup,"('L0', 2)",0.0,2
restr_fluxo_sup,"('L1', 0)",-2402.00000000389,2
restr_fluxo_sup,"('L1', 1)",0.0,2
restr_fluxo_sup,"('L1', 2)",0.0,2
restr_fluxo_sup,"('L2', 0)",0.0,2
restr_fluxo_sup,"('L2', 1)",0.0,2
restr_fluxo_sup,"('L2', 2)",0.0,2
restr_fluxo_sup,"('L3', 0)",0.0,2
restr_fluxo_sup,"('L3', 1)",0.0,2
restr_fluxo_sup,"('L3', 2)",0.0,2
restr_fluxo_inf,"('L0', 0)",0.0,2
restr_fluxo_inf,"('L0', 1)",0.0,2
restr_fluxo_inf,"('L0', 2)",0.0,2
restr_fluxo_inf,"('L1', 0)",0.0,2
restr_fluxo_inf,"('L1', 1)",0.0,2
restr_fluxo_inf,"('L1', 2)",0.0,2
restr_fluxo_inf,"('L2', 0)",0.0,2
restr_fluxo_inf,"('L2', 1)",0.0,2
restr_fluxo_inf,"('L2', 2)",0.0,2
restr_fluxo_inf,"('L3', 0)",0.0,2
restr_fluxo_inf,"('L3', 1)",0.0,2
restr_fluxo_inf,"('L3', 2)",0.0,2
balanco,"('B1', 0)",265.000000000877,2
balanco,"('B1', 1)",265.000000000258,2
balanco,"('B1', 2)",264.999999999002,2
balanco,"('B2', 0)",2264.99999999767,2
balanco,"('B2', 1)",4264.9999999993,2
balanco,"('B2', 2)",265.00000000291,2
balanco,"('B3', 0)",1795.00000000047,2
balanco,"('B3', 1)",1912.0588235301,2
balanco,"('B3', 2)",265.000000000582,2
limites,"('GT1', 0)",0.0,3
limites,"('GT1', 1)",0.0,3
limites,"('GT1', 2)",0.0,3
limites,"('GT2', 0)",0.0,3
limites,"('GT2', 1)",0.0,3
limites,"('GT2', 2)",0.0,3
limites,"('GT3', 0)",0.0,3
limites,"('GT3', 1)",0.0,3
limites,"('GT3', 2)",1442.94117646726,3
limite_deficit,"('B1', 0)",0.0,3
limite_deficit,"('B1', 1)",0.0,3
limite_deficit,"('B1', 2)",0.0,3
limite_deficit,"('B2', 0)",0.0,3
limite_deficit,"('B2', 1)",0.0,3
limite_deficit,"('B2', 2)",0.0,3
limite_deficit,"('B3', 0)",0.0,3
limite_deficit,"('B3', 1)",0.0,3
limite_deficit,"('B3', 2)",0.0,3
rampa_inf,"('GT1', 1)",0.0,3
rampa_inf,"('GT1', 2)",0.0,3
rampa_inf,"('GT2', 1)",0.0,3
rampa_inf,"('GT2', 2)",-1999.99999999485,3
rampa_inf,"('GT3', 1)",0.0,3
rampa_inf,"('GT3', 2)",-102.058823530527,3
rampa_sup,"('GT1', 1)",0.0,3
rampa_sup,"('GT1', 2)",0.0,3
rampa_sup,"('GT2', 1)",0.0,3
rampa_sup,"('GT2', 2)",0.0,3
rampa_sup,"('GT3', 1)",0.0,3
rampa_sup,"('GT3', 2)",0.0,3
restr_fluxo_sup,"('L0', 0)",-2965.15151514061,3
restr_fluxo_sup,"('L0', 1)",-8991.08734402615,3
restr_fluxo_sup,"('L0', 2)",0.0,3
restr_fluxo_sup,"('L1', 0)",-2453.00000001195,3
restr_fluxo_sup,"('L1', 1)",0.0,3
restr_fluxo_sup,"('L1', 2)",0.0,3
restr_fluxo_sup,"('L2', 0)",0.0,3
restr_fluxo_sup,"('L2', 1)",0.0,3
restr_fluxo_sup,"('L2', 2)",0.0,3
restr_fluxo_sup,"('L3', 0)",0.0,3
restr_fluxo_sup,"('L3', 1)",0.0,3
restr_fluxo_sup,"('L3', 2)",0.0,3
restr_fluxo_inf,"('L0', 0)",0.0,3
restr_fluxo_inf,"('L0', 1)",0.0,3
restr_fluxo_inf,"('L0', 2)",0.0,3
restr_fluxo_inf,"('L1', 0)",0.0,3
restr_fluxo_inf,"('L1', 1)",0.0,3
restr_fluxo_inf,"('L1', 2)",0.0,3
restr_fluxo_inf,"('L2', 0)",0.0,3
restr_fluxo_inf,"('L2', 1)",0.0,3
restr_fluxo_inf,"('L2', 2)",0.0,3
restr_fluxo_inf,"('L3', 0)",0.0,3
restr_fluxo_inf,"('L3', 1)",0.0,3
restr_fluxo_inf,"('L3', 2)",0.0,3
balanco,"('B1', 0)",272.499999997956,3
balanco,"('B1', 1)",272.500000000587,3
balanco,"('B1', 2)",272.500000001161,3
balanco,"('B2', 0)",2272.49999999569,3
balanco,"('B2', 1)",4272.49999999814,3
balanco,"('B2', 2)",272.500000002794,3
balanco,"('B3', 0)",1817.50000000116,3
balanco,"('B3', 1)",1919.5588235301,3
balanco,"('B3', 2)",272.500000002212,3
limites,"('GT1', 0)",0.0,4
