simulacao,tipo,id,tempo,valor,execucao
0VFVFVV_None,FOB,total,,2948.251336898397,0
0VFVFVV_None,geracao,GT1,0.0,30.0,0
0VFVFVV_None,geracao,GT1,1.0,26.427807486631,0
0VFVFVV_None,geracao,GT1,2.0,24.427807486631,0
0VFVFVV_None,geracao,GT2,0.0,38.072727272727306,0
0VFVFVV_None,geracao,GT2,1.0,38.572192513369004,0
0VFVFVV_None,geracao,GT2,2.0,34.572192513369,0
0VFVFVV_None,geracao,GT3,0.0,1.92727272727272,0
0VFVFVV_None,geracao,GT3,1.0,11.0,0
0VFVFVV_None,geracao,GT3,2.0,1.0,0
0VFVFVV_None,fluxo,L0,0.0,6.000000000000006,0
0VFVFVV_None,fluxo,L0,1.0,6.000000000000006,0
0VFVFVV_None,fluxo,L0,2.0,4.586835844567813,0
0VFVFVV_None,fluxo,L1,0.0,12.000000000000014,0
0VFVFVV_None,fluxo,L1,1.0,10.21390374331552,0
0VFVFVV_None,fluxo,L1,2.0,9.92048582103162,0
0VFVFVV_None,fluxo,L2,0.0,12.000000000000014,0
0VFVFVV_None,fluxo,L2,1.0,10.21390374331552,0
0VFVFVV_None,fluxo,L2,2.0,9.92048582103162,0
0VFVFVV_None,fluxo,L3,0.0,4.07272727272728,0
0VFVFVV_None,fluxo,L3,1.0,1.572192513368988,0
0VFVFVV_None,fluxo,L3,2.0,4.159028357936788,0
0VFVFVV_None,deficit,B1,0.0,0.0,0
0VFVFVV_None,deficit,B1,1.0,0.0,0
0VFVFVV_None,deficit,B1,2.0,0.0,0
0VFVFVV_None,deficit,B2,0.0,0.0,0
0VFVFVV_None,deficit,B2,1.0,0.0,0
0VFVFVV_None,deficit,B2,2.0,0.0,0
0VFVFVV_None,deficit,B3,0.0,0.0,0
0VFVFVV_None,deficit,B3,1.0,0.0,0
0VFVFVV_None,deficit,B3,2.0,0.0,0
1VFVFVV_None,FOB,total,,2965.7904278074875,1
1VFVFVV_None,geracao,GT1,0.0,30.0,1
1VFVFVV_None,geracao,GT1,1.0,26.427807486631,1
1VFVFVV_None,geracao,GT1,2.0,24.427807486631,1
1VFVFVV_None,geracao,GT2,0.0,38.072727272727306,1
1VFVFVV_None,geracao,GT2,1.0,38.572192513369004,1
1VFVFVV_None,geracao,GT2,2.0,34.572192513369,1
1VFVFVV_None,geracao,GT3,0.0,1.9272727272727102,1
1VFVFVV_None,geracao,GT3,1.0,11.0,1
1VFVFVV_None,geracao,GT3,2.0,1.0,1
1VFVFVV_None,fluxo,L0,0.0,6.000000000000006,1
1VFVFVV_None,fluxo,L0,1.0,6.000000000000006,1
1VFVFVV_None,fluxo,L0,2.0,4.586835844567813,1
1VFVFVV_None,fluxo,L1,0.0,12.0,1
1VFVFVV_None,fluxo,L1,1.0,10.213903743315514,1
1VFVFVV_None,fluxo,L1,2.0,9.920485821031626,1
1VFVFVV_None,fluxo,L2,0.0,12.0,1
1VFVFVV_None,fluxo,L2,1.0,10.213903743315514,1
1VFVFVV_None,fluxo,L2,2.0,9.920485821031626,1
1VFVFVV_None,fluxo,L3,0.0,4.07272727272726,1
1VFVFVV_None,fluxo,L3,1.0,1.5721925133689811,1
1VFVFVV_None,fluxo,L3,2.0,4.159028357936795,1
1VFVFVV_None,deficit,B1,0.0,0.0,1
1VFVFVV_None,deficit,B1,1.0,0.0,1
1VFVFVV_None,deficit,B1,2.0,0.0,1
1VFVFVV_None,deficit,B2,0.0,0.0,1
1VFVFVV_None,deficit,B2,1.0,0.0,1
1VFVFVV_None,deficit,B2,2.0,0.0,1
1VFVFVV_None,deficit,B3,0.0,0.0,1
1VFVFVV_None,deficit,B3,1.0,0.0,1
1VFVFVV_None,deficit,B3,2.0,0.0,1
2VFVFVV_None,FOB,total,,2983.3295187165786,2
2VFVFVV_None,geracao,GT1,0.0,30.0,2
2VFVFVV_None,geracao,GT1,1.0,26.427807486631,2
2VFVFVV_None,geracao,GT1,2.0,24.427807486631,2
2VFVFVV_None,geracao,GT2,0.0,38.072727272727306,2
2VFVFVV_None,geracao,GT2,1.0,38.572192513369004,2
2VFVFVV_None,geracao,GT2,2.0,34.572192513369,2
