simulacao,tipo,id,tempo,valor,execucao
0VVVVV_None,FOB,total,,2777.920505637888,0
0VVVVV_None,geracao,GT1,0.0,31.565223140495902,0
0VVVVV_None,geracao,GT1,1.0,31.565223140495902,0
0VVVVV_None,geracao,GT1,2.0,28.8928128134279,0
0VVVVV_None,geracao,GT2,0.0,24.6173047731489,0
0VVVVV_None,geracao,GT2,1.0,27.6173047731489,0
0VVVVV_None,geracao,GT2,2.0,23.617304773148902,0
0VVVVV_None,geracao,GT3,0.0,17.3560816326531,0
0VVVVV_None,geracao,GT3,1.0,20.3560816326531,0
0VVVVV_None,geracao,GT3,2.0,10.3560816326531,0
0VVVVV_None,fluxo,L0,0.0,6.0,0
0VVVVV_None,fluxo,L0,1.0,6.0,0
0VVVVV_None,fluxo,L0,2.0,3.59265859212857,0
0VVVVV_None,fluxo,L1,0.0,12.0,0
0VVVVV_None,fluxo,L1,1.0,12.0,0
0VVVVV_None,fluxo,L1,2.0,12.0,0
0VVVVV_None,fluxo,L2,0.0,12.0,0
0VVVVV_None,fluxo,L2,1.0,12.0,0
0VVVVV_None,fluxo,L2,2.0,12.0,0
0VVVVV_None,fluxo,L3,0.0,-10.0,0
0VVVVV_None,fluxo,L3,1.0,-10.0,0
0VVVVV_None,fluxo,L3,2.0,-8.071136244337431,0
0VVVVV_None,deficit,B2,0.0,0.0,0
0VVVVV_None,deficit,B3,0.0,0.0,0
0VVVVV_None,deficit,B2,1.0,0.0,0
0VVVVV_None,deficit,B3,1.0,0.0,0
0VVVVV_None,deficit,B2,2.0,0.0,0
0VVVVV_None,deficit,B3,2.0,0.0,0
1VVVVV_None,FOB,total,,2801.3264987459684,1
1VVVVV_None,geracao,GT1,0.0,31.565223140495902,1
1VVVVV_None,geracao,GT1,1.0,31.565223140495902,1
1VVVVV_None,geracao,GT1,2.0,28.8928128134279,1
1VVVVV_None,geracao,GT2,0.0,24.6173047731489,1
1VVVVV_None,geracao,GT2,1.0,27.6173047731489,1
1VVVVV_None,geracao,GT2,2.0,23.617304773148902,1
1VVVVV_None,geracao,GT3,0.0,17.3560816326531,1
1VVVVV_None,geracao,GT3,1.0,20.3560816326531,1
1VVVVV_None,geracao,GT3,2.0,10.3560816326531,1
1VVVVV_None,fluxo,L0,0.0,6.0,1
1VVVVV_None,fluxo,L0,1.0,6.0,1
1VVVVV_None,fluxo,L0,2.0,3.59265859212857,1
1VVVVV_None,fluxo,L1,0.0,12.0,1
1VVVVV_None,fluxo,L1,1.0,12.0,1
1VVVVV_None,fluxo,L1,2.0,12.0,1
1VVVVV_None,fluxo,L2,0.0,12.0,1
1VVVVV_None,fluxo,L2,1.0,12.0,1
1VVVVV_None,fluxo,L2,2.0,12.0,1
1VVVVV_None,fluxo,L3,0.0,-10.0,1
1VVVVV_None,fluxo,L3,1.0,-10.0,1
1VVVVV_None,fluxo,L3,2.0,-8.071136244337431,1
1VVVVV_None,deficit,B2,0.0,0.0,1
1VVVVV_None,deficit,B3,0.0,0.0,1
1VVVVV_None,deficit,B2,1.0,0.0,1
1VVVVV_None,deficit,B3,1.0,0.0,1
1VVVVV_None,deficit,B2,2.0,0.0,1
1VVVVV_None,deficit,B3,2.0,0.0,1
2VVVVV_None,FOB,total,,2824.7324918540494,2
2VVVVV_None,geracao,GT1,0.0,31.565223140495902,2
2VVVVV_None,geracao,GT1,1.0,31.565223140495902,2
2VVVVV_None,geracao,GT1,2.0,28.8928128134279,2
2VVVVV_None,geracao,GT2,0.0,24.6173047731489,2
2VVVVV_None,geracao,GT2,1.0,27.6173047731489,2
2VVVVV_None,geracao,GT2,2.0,23.617304773148902,2
2VVVVV_None,geracao,GT3,0.0,17.3560816326531,2
2VVVVV_None,geracao,GT3,1.0,20.3560816326531,2
2VVVVV_None,geracao,GT3,2.0,10.3560816326531,2
2VVVVV_None,fluxo,L0,0.0,6.0,2
2VVVVV_None,fluxo,L0,1.0,6.0,2
2VVVVV_None,fluxo,L0,2.0,3.59265859212857,2
2VVVVV_None,fluxo,L1,0.0,12.0,2
