iteracao,linha,tempo,f,B,theta,G,perda
0,L0,0,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
0,L0,1,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
0,L0,2,-0.06,0.33,-0.1818181818181818,0.25,0.008264462809917354
0,L1,0,-0.12,0.5,-0.24,0.2,0.01152
0,L1,1,-0.12,0.5,-0.24,0.2,0.01152
0,L1,2,-0.009999999999999995,0.5,-0.01999999999999999,0.2,7.999999999999993e-05
0,L2,0,0.11,0.5,0.22,0.2,0.009680000000000001
0,L2,1,0.11,0.5,0.22,0.2,0.009680000000000001
0,L2,2,0.12,0.5,0.24,0.2,0.01152
0,L3,0,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
0,L3,1,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
0,L3,2,0.1,0.7,0.14285714285714288,0.2,0.004081632653061226
1,L0,0,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
1,L0,1,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
1,L0,2,-0.06,0.33,-0.1818181818181818,0.25,0.008264462809917354
1,L1,0,-0.12,0.5,-0.24,0.2,0.01152
1,L1,1,-0.12,0.5,-0.24,0.2,0.01152
1,L1,2,-0.019932231404958672,0.5,-0.039864462809917345,0.2,0.00031783507902465665
1,L2,0,0.09526776859504132,0.5,0.19053553719008265,0.2,0.007260758186462674
1,L2,1,0.09526776859504132,0.5,0.19053553719008265,0.2,0.007260758186462674
1,L2,2,0.12,0.5,0.24,0.2,0.01152
1,L3,0,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
1,L3,1,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
1,L3,2,0.1,0.7,0.14285714285714288,0.2,0.004081632653061226
2,L0,0,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
2,L0,1,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
2,L0,2,-0.06,0.33,-0.1818181818181818,0.25,0.008264462809917354
2,L1,0,-0.12,0.5,-0.24,0.2,0.01152
2,L1,1,-0.12,0.5,-0.24,0.2,0.01152
2,L1,2,-0.020051148944470992,0.5,-0.040102297888941985,0.2,0.0003216388591946882
2,L2,0,0.09647738950180998,0.5,0.19295477900361996,0.2,0.0074463093480671635
2,L2,1,0.09647738950180998,0.5,0.19295477900361996,0.2,0.0074463093480671635
2,L2,2,0.12,0.5,0.24,0.2,0.01152
2,L3,0,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
2,L3,1,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
2,L3,2,0.1,0.7,0.14285714285714288,0.2,0.004081632653061226
3,L0,0,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
3,L0,1,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
3,L0,2,-0.06,0.33,-0.1818181818181818,0.25,0.008264462809917354
3,L1,0,-0.12,0.5,-0.24,0.2,0.01152
3,L1,1,-0.12,0.5,-0.24,0.2,0.01152
3,L1,2,-0.020053050834556024,0.5,-0.04010610166911205,0.2,0.00032169987821863047
3,L2,0,0.09638461392100775,0.5,0.1927692278420155,0.2,0.0074319950405613774
3,L2,1,0.09638461392100775,0.5,0.1927692278420155,0.2,0.0074319950405613774
3,L2,2,0.12,0.5,0.24,0.2,0.01152
3,L3,0,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
3,L3,1,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
3,L3,2,0.1,0.7,0.14285714285714288,0.2,0.004081632653061226
4,L0,0,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
4,L0,1,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
4,L0,2,-0.06,0.33,-0.1818181818181818,0.25,0.008264462809917354
4,L1,0,-0.12,0.5,-0.24,0.2,0.01152
4,L1,1,-0.12,0.5,-0.24,0.2,0.01152
4,L1,2,-0.020053081344067983,0.5,-0.040106162688135966,0.2,0.00032170085711344593
4,L2,0,0.09639177107476063,0.5,0.19278354214952126,0.2,0.0074330988247432485
4,L2,1,0.09639177107476063,0.5,0.19278354214952126,0.2,0.0074330988247432485
4,L2,2,0.12,0.5,0.24,0.2,0.01152
4,L3,0,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
4,L3,1,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
4,L3,2,0.1,0.7,0.14285714285714288,0.2,0.004081632653061226
5,L0,0,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
5,L0,1,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
5,L0,2,-0.06,0.33,-0.1818181818181818,0.25,0.008264462809917354
5,L1,0,-0.12,0.5,-0.24,0.2,0.01152
5,L1,1,-0.12,0.5,-0.24,0.2,0.01152
5,L1,2,-0.020053081833515396,0.5,-0.04010616366703079,0.2,0.00032170087281733215
5,L2,0,0.0963912191826697,0.5,0.1927824383653394,0.2,0.007433013708417178
5,L2,1,0.0963912191826697,0.5,0.1927824383653394,0.2,0.007433013708417178
5,L2,2,0.12,0.5,0.24,0.2,0.01152
5,L3,0,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
5,L3,1,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
5,L3,2,0.1,0.7,0.14285714285714288,0.2,0.004081632653061226
6,L0,0,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
6,L0,1,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
6,L0,2,-0.06,0.33,-0.1818181818181818,0.25,0.008264462809917354
6,L1,0,-0.12,0.5,-0.24,0.2,0.01152
6,L1,1,-0.12,0.5,-0.24,0.2,0.01152
6,L1,2,-0.020053081841367337,0.5,-0.040106163682734675,0.2,0.00032170087306926116
6,L2,0,0.09639126174083273,0.5,0.19278252348166547,0.2,0.007433020271991779
6,L2,1,0.09639126174083273,0.5,0.19278252348166547,0.2,0.007433020271991779
6,L2,2,0.12,0.5,0.24,0.2,0.01152
6,L3,0,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
6,L3,1,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
6,L3,2,0.1,0.7,0.14285714285714288,0.2,0.004081632653061226
7,L0,0,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
7,L0,1,0.06,0.33,0.1818181818181818,0.25,0.008264462809917354
7,L0,2,-0.06,0.33,-0.1818181818181818,0.25,0.008264462809917354
7,L1,0,-0.12,0.5,-0.24,0.2,0.01152
7,L1,1,-0.12,0.5,-0.24,0.2,0.01152
7,L1,2,-0.020053081841493306,0.5,-0.04010616368298661,0.2,0.00032170087307330285
7,L2,0,0.09639125845904543,0.5,0.19278251691809087,0.2,0.007433019765854799
7,L2,1,0.09639125845904543,0.5,0.19278251691809087,0.2,0.007433019765854799
7,L2,2,0.12,0.5,0.24,0.2,0.01152
7,L3,0,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
7,L3,1,-0.1,0.7,-0.14285714285714288,0.2,0.004081632653061226
