restricao,indice,dual,momento,execucao,config_str
limites,"('GT1', 0)",250.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites,"('GT1', 1)",250.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites,"('GT1', 2)",250.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites,"('GT2', 0)",2250.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites,"('GT2', 1)",2250.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites,"('GT2', 2)",2250.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites,"('GT3', 0)",1750.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites,"('GT3', 1)",1750.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites,"('GT3', 2)",1750.0,experimentos,0,fluxo=True_perdas=True_emissao=True_rampa=True
limites_fluxo,"('L0', 0)",-2000.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
limites_fluxo,"('L0', 1)",-4000.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
limites_fluxo,"('L1', 0)",-1515.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
limites_fluxo,"('L1', 1)",-3030.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
limites_fluxo,"('L2', 0)",-1515.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
limites_fluxo,"('L2', 1)",-3030.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
limites_fluxo,"('L3', 0)",485.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
limites_fluxo,"('L3', 1)",970.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
rampa_inf,"('GT2', 2)",-2000.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
rampa_inf,"('GT3', 2)",-1515.0,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
balanco,"('B1', 0)",257.5,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
balanco,"('B1', 1)",257.5,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
balanco,"('B1', 2)",257.5,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
balanco,"('B2', 0)",2257.5,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
balanco,"('B2', 1)",4257.5,experimentos,1,fluxo=True_perdas=True_emissao=True_rampa=True
