delta,FOB,perdas_MW,geracao_MW,considerar_fluxo,considerar_perdas,considerar_rampa,considerar_emissao,fluxo_L0_0,fluxo_L0_1,fluxo_L0_2,fluxo_L1_0,fluxo_L1_1,fluxo_L1_2,fluxo_L2_0,fluxo_L2_1,fluxo_L2_2,fluxo_L3_0,fluxo_L3_1,fluxo_L3_2,ger_GT1_0,ger_GT1_1,ger_GT1_2,ger_GT2_0,ger_GT2_1,ger_GT2_2,ger_GF2_0,ger_GF2_1,ger_GF2_2,ger_GT3_0,ger_GT3_1,ger_GT3_2,ger_GF3_0,ger_GF3_1,ger_GF3_2,execucao
0.0,765.0,0,214.67860268661897,True,True,True,True,6.0,6.0,-6.0,-12.0,-12.0,-2.005308184149536,9.639125869399617,9.639125869399617,12.0,-10.0,-10.0,10.0,5.0,5.0,5.0,10.0,10.0,10.0,14.617304773148934,17.617304773148927,41.61730477314893,1.0,1.0,1.0,42.51260675335796,45.51260675335796,4.801474860456266,0
0.01,2801.2686914356286,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,1
0.02,2824.6730008356412,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,2
0.03,2848.077310235654,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,3
0.04,2871.481619635667,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,4
0.05,2894.885929035679,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,5
0.06,2918.2902384356917,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,6
0.07,2941.6945478357043,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,7
0.08,2965.0988572357173,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,8
0.09,2988.50316663573,0,215.92096887091677,True,True,True,True,6.0,6.0,6.0,12.0,12.0,9.518716385511953,12.0,12.0,12.0,-10.0,-10.0,-5.866146269500347,31.565223140495863,31.565223140495863,28.87036337251907,24.617304773148934,27.61730477314893,23.61730477314893,0.0,0.0,0.0,17.356081632653066,20.356081632653066,10.356081632653064,0.0,0.0,0.0,9
