delta,FOB,perdas_MW,geracao_MW,considerar_fluxo,considerar_perdas,considerar_rampa,considerar_emissao,fluxo_L0_0,fluxo_L0_1,fluxo_L0_2,fluxo_L1_0,fluxo_L1_1,fluxo_L1_2,fluxo_L2_0,fluxo_L2_1,fluxo_L2_2,fluxo_L3_0,fluxo_L3_1,fluxo_L3_2,ger_GT1_0,ger_GT1_1,ger_GT1_2,ger_GT2_0,ger_GT2_1,ger_GT2_2,ger_GF2_0,ger_GF2_1,ger_GF2_2,ger_GT3_0,ger_GT3_1,ger_GT3_2,ger_GF3_0,ger_GF3_1,ger_GF3_2,execucao
0.0,765.0,0,206.0,True,False,True,True,5.0,5.0,5.0,-12.0,-12.0,-12.0,12.0,12.0,12.0,-10.0,-10.0,-10.0,5.0,5.0,5.0,10.0,10.0,10.0,15.0,18.0,10.0,1.0,1.0,1.0,39.0,42.0,34.0,0
0.01,2677.0499999999997,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,1
0.02,2699.1,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,2
0.03,2721.15,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,3
0.04,2743.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,4
0.05,2765.25,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,5
0.06,2787.2999999999997,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,6
0.07,2809.3499999999995,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,7
0.08,2831.4,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,8
0.09,2853.4500000000003,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,9
0.1,2875.5,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,10
0.11,2897.5499999999997,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,11
0.12,2919.6,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,12
0.13,2941.65,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,13
0.14,2963.7000000000003,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,14
0.15,2985.75,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,15
0.16,3007.7999999999997,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,16
0.17,3029.8500000000004,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,17
0.18,3051.9000000000005,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,18
